분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,LG,0.600,5,5,1,3,1,0,0,2,0,0,0,0,0,0,0.600
3월,03.29,LG,0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0.429
3월,03.31,한화,0.400,5,5,0,2,0,0,0,0,0,0,0,0,1,0,0.417
4월,04.01,한화,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.357
4월,04.02,한화,0.667,6,6,1,4,0,0,0,0,0,0,0,0,1,0,0.450
4월,04.03,삼성,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.391
4월,04.04,삼성,0.333,4,3,1,1,0,0,0,1,0,0,0,1,2,0,0.385
4월,04.05,삼성,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.345
4월,04.07,롯데,0.200,5,5,0,1,0,0,0,1,0,0,0,0,1,0,0.324
4월,04.08,롯데,0.000,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0.297
4월,04.10,두산,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.282
4월,04.11,두산,0.500,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0.293
4월,04.12,두산,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.273
4월,04.14,NC,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.267
4월,04.15,NC,0.000,4,3,1,0,0,0,0,1,0,0,1,0,0,0,0.250
4월,04.16,NC,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.235
4월,04.17,키움,0.333,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0.241
4월,04.18,키움,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.241
4월,04.19,키움,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.237
4월,04.21,KIA,0.600,5,5,0,3,0,0,0,2,0,0,0,0,1,0,0.266
4월,04.22,KIA,0.250,4,4,1,1,0,0,0,2,0,0,0,0,1,0,0.265
4월,04.23,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0.250
