분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.31,롯데,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.000
4월,04.01,롯데,0.667,4,3,1,2,0,0,0,0,0,0,1,0,0,0,0.333
4월,04.02,롯데,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.333
4월,04.03,KIA,0.000,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0.273
4월,04.04,KIA,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.214
4월,04.05,KIA,0.000,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0.176
4월,04.07,LG,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.158
4월,04.08,LG,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.174
4월,04.10,삼성,0.250,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0.185
4월,04.11,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.161
4월,04.12,삼성,0.667,4,3,1,2,1,0,1,1,0,0,1,0,0,0,0.206
4월,04.14,KT,1.000,4,2,1,2,1,0,0,0,0,0,2,0,0,0,0.250
4월,04.15,KT,0.667,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0.282
4월,04.16,KT,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.262
4월,04.18,SSG,0.333,4,3,1,1,0,0,1,1,0,0,1,0,1,0,0.267
4월,04.19,SSG,0.250,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0.265
4월,04.21,키움,0.333,4,3,0,1,1,0,0,0,0,0,1,0,1,0,0.269
4월,04.22,키움,0.667,4,3,0,2,0,0,0,0,0,0,1,0,0,0,0.291
4월,04.23,키움,0.750,4,4,2,3,1,0,0,0,0,0,0,0,0,0,0.322
